segment,country,product,discount_band,units_sold,sale_price,sales,date,month_name,year
Government,Germany, Amarilla , None ,1686.0, $7.00 ," $11,802.00 ",01/07/2014, July ,2014
Channel Partners,United States of America, Amarilla , None ,2141.0, $12.00 ," $25,692.00 ",01/08/2014, August ,2014
Government,United States of America, Amarilla , None ,1143.0, $7.00 ," $8,001.00 ",01/10/2014, October ,2014
Midmarket,United States of America, Amarilla , None ,615.0, $15.00 ," $9,225.00 ",01/12/2014, December ,2014
Government,France, Paseo , Low ,3945.0, $7.00 ," $27,338.85 ",01/01/2014, January ,2014
Midmarket,France, Paseo , Low ,2296.0, $15.00 ," $34,095.60 ",01/02/2014, February ,2014
Government,France, Paseo , Low ,1030.0, $7.00 ," $7,137.90 ",01/05/2014, May ,2014
Government,France, Velo , Low ,639.0, $7.00 ," $4,428.27 ",01/11/2014, November ,2014
Government,Canada, VTT , Low ,1326.0, $7.00 ," $9,189.18 ",01/03/2014, March ,2014
Channel Partners,United States of America, Carretera , Low ,1858.0, $12.00 ," $22,073.04 ",01/02/2014, February ,2014
Government,Mexico, Carretera , Low ,1210.0, $350.00 ," $419,265.00 ",01/03/2014, March ,2014
Government,United States of America, Carretera , Low ,2529.0, $7.00 ," $17,525.97 ",01/07/2014, July ,2014
Channel Partners,Canada, Carretera , Low ,1445.0, $12.00 ," $17,166.60 ",01/09/2014, September ,2014
Enterprise,United States of America, Carretera , Low ,330.0, $125.00 ," $40,837.50 ",01/09/2013, September ,2013
Channel Partners,France, Carretera , Low ,2671.0, $12.00 ," $31,731.48 ",01/09/2014, September ,2014
Channel Partners,Germany, Carretera , Low ,766.0, $12.00 ," $9,100.08 ",01/10/2013, October ,2013
Small Business,Mexico, Carretera , Low ,494.0, $300.00 ," $146,718.00 ",01/10/2013, October ,2013
Government,Mexico, Carretera , Low ,1397.0, $350.00 ," $484,060.50 ",01/10/2014, October ,2014
Government,France, Carretera , Low ,2155.0, $350.00 ," $746,707.50 ",01/12/2014, December ,2014
Midmarket,Mexico, Montana , Low ,2214.0, $15.00 ," $32,877.90 ",01/03/2014, March ,2014
Small Business,United States of America, Montana , Low ,2301.0, $300.00 ," $683,397.00 ",01/04/2014, April ,2014
Government,France, Montana , Low ,1375.5, $20.00 ," $27,234.90 ",01/07/2014, July ,2014
Government,Canada, Montana , Low ,1830.0, $7.00 ," $12,681.90 ",01/08/2014, August ,2014
Small Business,United States of America, Montana , Low ,2498.0, $300.00 ," $741,906.00 ",01/09/2013, September ,2013
Enterprise,United States of America, Montana , Low ,663.0, $125.00 ," $82,046.25 ",01/10/2013, October ,2013
Midmarket,United States of America, Paseo , Low ,1514.0, $15.00 ," $22,482.90 ",01/02/2014, February ,2014
Government,United States of America, Paseo , Low ,4492.5, $7.00 ," $31,133.03 ",01/04/2014, April ,2014
Enterprise,United States of America, Paseo , Low ,727.0, $125.00 ," $89,966.25 ",01/06/2014, June ,2014
Enterprise,France, Paseo , Low ,787.0, $125.00 ," $97,391.25 ",01/06/2014, June ,2014
Enterprise,Mexico, Paseo , Low ,1823.0, $125.00 ," $225,596.25 ",01/07/2014, July ,2014
Midmarket,Germany, Paseo , Low ,747.0, $15.00 ," $11,092.95 ",01/09/2014, September ,2014
Channel Partners,Germany, Paseo , Low ,766.0, $12.00 ," $9,100.08 ",01/10/2013, October ,2013
Small Business,United States of America, Paseo , Low ,2905.0, $300.00 ," $862,785.00 ",01/11/2014, November ,2014
Government,France, Paseo , Low ,2155.0, $350.00 ," $746,707.50 ",01/12/2014, December ,2014
Government,France, Velo , Low ,3864.0, $20.00 ," $76,507.20 ",01/04/2014, April ,2014
Government,Mexico, Velo , Low ,362.0, $7.00 ," $2,508.66 ",01/05/2014, May ,2014
Enterprise,Canada, Velo , Low ,923.0, $125.00 ," $114,221.25 ",01/08/2014, August ,2014
Enterprise,United States of America, Velo , Low ,663.0, $125.00 ," $82,046.25 ",01/10/2013, October ,2013
Government,Canada, Velo , Low ,2092.0, $7.00 ," $14,497.56 ",01/11/2013, November ,2013
Government,Germany, VTT , Low ,263.0, $7.00 ," $1,822.59 ",01/03/2014, March ,2014
Government,Canada, VTT , Low ,943.5, $350.00 ," $326,922.75 ",01/04/2014, April ,2014
Enterprise,United States of America, VTT , Low ,727.0, $125.00 ," $89,966.25 ",01/06/2014, June ,2014
Enterprise,France, VTT , Low ,787.0, $125.00 ," $97,391.25 ",01/06/2014, June ,2014
Small Business,Germany, VTT , Low ,986.0, $300.00 ," $292,842.00 ",01/09/2014, September ,2014
Small Business,Mexico, VTT , Low ,494.0, $300.00 ," $146,718.00 ",01/10/2013, October ,2013
Government,Mexico, VTT , Low ,1397.0, $350.00 ," $484,060.50 ",01/10/2014, October ,2014
Enterprise,France, VTT , Low ,1744.0, $125.00 ," $215,820.00 ",01/11/2014, November ,2014
Channel Partners,United States of America, Amarilla , Low ,1989.0, $12.00 ," $23,629.32 ",01/09/2013, September ,2013
Midmarket,France, Amarilla , Low ,321.0, $15.00 ," $4,766.85 ",01/11/2013, November ,2013
Enterprise,Canada, Carretera , Low ,742.5, $125.00 ," $90,956.25 ",01/04/2014, April ,2014
Channel Partners,Canada, Carretera , Low ,1295.0, $12.00 ," $15,229.20 ",01/10/2014, October ,2014
Small Business,Germany, Carretera , Low ,214.0, $300.00 ," $62,916.00 ",01/10/2013, October ,2013
Government,France, Carretera , Low ,2145.0, $7.00 ," $14,714.70 ",01/11/2013, November ,2013
Government,Canada, Carretera , Low ,2852.0, $350.00 ," $978,236.00 ",01/12/2014, December ,2014
Channel Partners,United States of America, Montana , Low ,1142.0, $12.00 ," $13,429.92 ",01/06/2014, June ,2014
Government,United States of America, Montana , Low ,1566.0, $20.00 ," $30,693.60 ",01/10/2014, October ,2014
Channel Partners,Mexico, Montana , Low ,690.0, $12.00 ," $8,114.40 ",01/11/2014, November ,2014
Enterprise,Mexico, Montana , Low ,1660.0, $125.00 ," $203,350.00 ",01/11/2013, November ,2013
Midmarket,Canada, Paseo , Low ,2363.0, $15.00 ," $34,736.10 ",01/02/2014, February ,2014
Small Business,France, Paseo , Low ,918.0, $300.00 ," $269,892.00 ",01/05/2014, May ,2014
Small Business,Germany, Paseo , Low ,1728.0, $300.00 ," $508,032.00 ",01/05/2014, May ,2014
Channel Partners,United States of America, Paseo , Low ,1142.0, $12.00 ," $13,429.92 ",01/06/2014, June ,2014
Enterprise,Mexico, Paseo , Low ,662.0, $125.00 ," $81,095.00 ",01/06/2014, June ,2014
Channel Partners,Canada, Paseo , Low ,1295.0, $12.00 ," $15,229.20 ",01/10/2014, October ,2014
Enterprise,Germany, Paseo , Low ,809.0, $125.00 ," $99,102.50 ",01/10/2013, October ,2013
Enterprise,Mexico, Paseo , Low ,2145.0, $125.00 ," $262,762.50 ",01/10/2013, October ,2013
Channel Partners,France, Paseo , Low ,1785.0, $12.00 ," $20,991.60 ",01/11/2013, November ,2013
Small Business,Canada, Paseo , Low ,1916.0, $300.00 ," $563,304.00 ",01/12/2014, December ,2014
Government,Canada, Paseo , Low ,2852.0, $350.00 ," $978,236.00 ",01/12/2014, December ,2014
Enterprise,Canada, Paseo , Low ,2729.0, $125.00 ," $334,302.50 ",01/12/2014, December ,2014
Midmarket,United States of America, Paseo , Low ,1925.0, $15.00 ," $28,297.50 ",01/12/2013, December ,2013
Government,United States of America, Paseo , Low ,2013.0, $7.00 ," $13,809.18 ",01/12/2013, December ,2013
Channel Partners,France, Paseo , Low ,1055.0, $12.00 ," $12,406.80 ",01/12/2014, December ,2014
Channel Partners,Mexico, Paseo , Low ,1084.0, $12.00 ," $12,747.84 ",01/12/2014, December ,2014
Government,United States of America, Velo , Low ,1566.0, $20.00 ," $30,693.60 ",01/10/2014, October ,2014
Government,Germany, Velo , Low ,2966.0, $350.00 ," $1,017,338.00 ",01/10/2013, October ,2013
Government,Germany, Velo , Low ,2877.0, $350.00 ," $986,811.00 ",01/10/2014, October ,2014
Enterprise,Germany, Velo , Low ,809.0, $125.00 ," $99,102.50 ",01/10/2013, October ,2013
Enterprise,Mexico, Velo , Low ,2145.0, $125.00 ," $262,762.50 ",01/10/2013, October ,2013
Channel Partners,France, Velo , Low ,1055.0, $12.00 ," $12,406.80 ",01/12/2014, December ,2014
Government,Mexico, Velo , Low ,544.0, $20.00 ," $10,662.40 ",01/12/2013, December ,2013
Channel Partners,Mexico, Velo , Low ,1084.0, $12.00 ," $12,747.84 ",01/12/2014, December ,2014
Enterprise,Mexico, VTT , Low ,662.0, $125.00 ," $81,095.00 ",01/06/2014, June ,2014
Small Business,Germany, VTT , Low ,214.0, $300.00 ," $62,916.00 ",01/10/2013, October ,2013
Government,Germany, VTT , Low ,2877.0, $350.00 ," $986,811.00 ",01/10/2014, October ,2014
Enterprise,Canada, VTT , Low ,2729.0, $125.00 ," $334,302.50 ",01/12/2014, December ,2014
Government,United States of America, VTT , Low ,266.0, $350.00 ," $91,238.00 ",01/12/2013, December ,2013
Government,Mexico, VTT , Low ,1940.0, $350.00 ," $665,420.00 ",01/12/2013, December ,2013
Small Business,Germany, Amarilla , Low ,259.0, $300.00 ," $76,146.00 ",01/03/2014, March ,2014
Small Business,Mexico, Amarilla , Low ,1101.0, $300.00 ," $323,694.00 ",01/03/2014, March ,2014
Enterprise,Germany, Amarilla , Low ,2276.0, $125.00 ," $278,810.00 ",01/05/2014, May ,2014
Government,Germany, Amarilla , Low ,2966.0, $350.00 ," $1,017,338.00 ",01/10/2013, October ,2013
Government,United States of America, Amarilla , Low ,1236.0, $20.00 ," $24,225.60 ",01/11/2014, November ,2014
Government,France, Amarilla , Low ,941.0, $20.00 ," $18,443.60 ",01/11/2014, November ,2014
Small Business,Canada, Amarilla , Low ,1916.0, $300.00 ," $563,304.00 ",01/12/2014, December ,2014
Enterprise,France, Carretera , Low ,4243.5, $125.00 ," $514,524.38 ",01/04/2014, April ,2014
Government,Germany, Carretera , Low ,2580.0, $20.00 ," $50,052.00 ",01/04/2014, April ,2014
Small Business,Germany, Carretera , Low ,689.0, $300.00 ," $200,499.00 ",01/06/2014, June ,2014
Channel Partners,United States of America, Carretera , Low ,1947.0, $12.00 ," $22,663.08 ",01/09/2014, September ,2014
Channel Partners,Canada, Carretera , Low ,908.0, $12.00 ," $10,569.12 ",01/12/2013, December ,2013
Government,Germany, Montana , Low ,1958.0, $7.00 ," $13,294.82 ",01/02/2014, February ,2014
Channel Partners,France, Montana , Low ,1901.0, $12.00 ," $22,127.64 ",01/06/2014, June ,2014
Government,France, Montana , Low ,544.0, $7.00 ," $3,693.76 ",01/09/2014, September ,2014
Government,Germany, Montana , Low ,1797.0, $350.00 ," $610,081.50 ",01/09/2013, September ,2013
Enterprise,France, Montana , Low ,1287.0, $125.00 ," $156,048.75 ",01/12/2014, December ,2014
Enterprise,Germany, Montana , Low ,1706.0, $125.00 ," $206,852.50 ",01/12/2014, December ,2014
Small Business,France, Paseo , Low ,2434.5, $300.00 ," $708,439.50 ",01/01/2014, January ,2014
Enterprise,Canada, Paseo , Low ,1774.0, $125.00 ," $215,097.50 ",01/03/2014, March ,2014
Channel Partners,France, Paseo , Low ,1901.0, $12.00 ," $22,127.64 ",01/06/2014, June ,2014
Small Business,Germany, Paseo , Low ,689.0, $300.00 ," $200,499.00 ",01/06/2014, June ,2014
Enterprise,Germany, Paseo , Low ,1570.0, $125.00 ," $190,362.50 ",01/06/2014, June ,2014
Channel Partners,United States of America, Paseo , Low ,1369.5, $12.00 ," $15,940.98 ",01/07/2014, July ,2014
Enterprise,Canada, Paseo , Low ,2009.0, $125.00 ," $243,591.25 ",01/10/2014, October ,2014
Midmarket,Germany, Paseo , Low ,1945.0, $15.00 ," $28,299.75 ",01/10/2013, October ,2013
Enterprise,France, Paseo , Low ,1287.0, $125.00 ," $156,048.75 ",01/12/2014, December ,2014
Enterprise,Germany, Paseo , Low ,1706.0, $125.00 ," $206,852.50 ",01/12/2014, December ,2014
Enterprise,Canada, Velo , Low ,2009.0, $125.00 ," $243,591.25 ",01/10/2014, October ,2014
Small Business,United States of America, VTT , Low ,2844.0, $300.00 ," $827,604.00 ",01/02/2014, February ,2014
Channel Partners,Mexico, VTT , Low ,1916.0, $12.00 ," $22,302.24 ",01/04/2014, April ,2014
Enterprise,Germany, VTT , Low ,1570.0, $125.00 ," $190,362.50 ",01/06/2014, June ,2014
Small Business,Canada, VTT , Low ,1874.0, $300.00 ," $545,334.00 ",01/08/2014, August ,2014
Government,Mexico, VTT , Low ,1642.0, $350.00 ," $557,459.00 ",01/08/2014, August ,2014
Midmarket,Germany, VTT , Low ,1945.0, $15.00 ," $28,299.75 ",01/10/2013, October ,2013
Government,Canada, Carretera , Low ,831.0, $20.00 ," $16,121.40 ",01/05/2014, May ,2014
Government,Mexico, Paseo , Low ,1760.0, $7.00 ," $11,950.40 ",01/09/2013, September ,2013
Government,Canada, Velo , Low ,3850.5, $20.00 ," $74,699.70 ",01/04/2014, April ,2014
Channel Partners,Germany, VTT , Low ,2479.0, $12.00 ," $28,855.56 ",01/01/2014, January ,2014
Midmarket,Mexico, Montana , Low ,2031.0, $15.00 ," $29,246.40 ",01/10/2014, October ,2014
Midmarket,Mexico, Paseo , Low ,2031.0, $15.00 ," $29,246.40 ",01/10/2014, October ,2014
Midmarket,France, Paseo , Low ,2261.0, $15.00 ," $32,558.40 ",01/12/2013, December ,2013
Government,United States of America, Velo , Low ,736.0, $20.00 ," $14,131.20 ",01/09/2013, September ,2013
Government,Canada, Carretera , Low ,2851.0, $7.00 ," $19,158.72 ",01/10/2013, October ,2013
Small Business,Germany, Carretera , Low ,2021.0, $300.00 ," $582,048.00 ",01/10/2014, October ,2014
Government,United States of America, Carretera , Low ,274.0, $350.00 ," $92,064.00 ",01/12/2014, December ,2014
Midmarket,Canada, Montana , Low ,1967.0, $15.00 ," $28,324.80 ",01/03/2014, March ,2014
Small Business,Germany, Montana , Low ,1859.0, $300.00 ," $535,392.00 ",01/08/2014, August ,2014
Government,Canada, Montana , Low ,2851.0, $7.00 ," $19,158.72 ",01/10/2013, October ,2013
Small Business,Germany, Montana , Low ,2021.0, $300.00 ," $582,048.00 ",01/10/2014, October ,2014
Enterprise,Mexico, Montana , Low ,1138.0, $125.00 ," $136,560.00 ",01/12/2014, December ,2014
Government,Canada, Paseo , Low ,4251.0, $7.00 ," $28,566.72 ",01/01/2014, January ,2014
Enterprise,Germany, Paseo , Low ,795.0, $125.00 ," $95,400.00 ",01/03/2014, March ,2014
Small Business,Germany, Paseo , Low ,1414.5, $300.00 ," $407,376.00 ",01/04/2014, April ,2014
Small Business,United States of America, Paseo , Low ,2918.0, $300.00 ," $840,384.00 ",01/05/2014, May ,2014
Government,United States of America, Paseo , Low ,3450.0, $350.00 ," $1,159,200.00 ",01/07/2014, July ,2014
Enterprise,France, Paseo , Low ,2988.0, $125.00 ," $358,560.00 ",01/07/2014, July ,2014
Midmarket,Canada, Paseo , Low ,218.0, $15.00 ," $3,139.20 ",01/09/2014, September ,2014
Government,Canada, Paseo , Low ,2074.0, $20.00 ," $39,820.80 ",01/09/2014, September ,2014
Government,United States of America, Paseo , Low ,1056.0, $20.00 ," $20,275.20 ",01/09/2014, September ,2014
Midmarket,United States of America, Paseo , Low ,671.0, $15.00 ," $9,662.40 ",01/10/2013, October ,2013
Midmarket,Mexico, Paseo , Low ,1514.0, $15.00 ," $21,801.60 ",01/10/2013, October ,2013
Government,United States of America, Paseo , Low ,274.0, $350.00 ," $92,064.00 ",01/12/2014, December ,2014
Enterprise,Mexico, Paseo , Low ,1138.0, $125.00 ," $136,560.00 ",01/12/2014, December ,2014
Channel Partners,United States of America, Velo , Low ,1465.0, $12.00 ," $16,876.80 ",01/03/2014, March ,2014
Government,Canada, Velo , Low ,2646.0, $20.00 ," $50,803.20 ",01/09/2013, September ,2013
Government,France, Velo , Low ,2177.0, $350.00 ," $731,472.00 ",01/10/2014, October ,2014
Channel Partners,France, VTT , Low ,866.0, $12.00 ," $9,976.32 ",01/05/2014, May ,2014
Government,United States of America, VTT , Low ,349.0, $350.00 ," $117,264.00 ",01/09/2013, September ,2013
Government,France, VTT , Low ,2177.0, $350.00 ," $731,472.00 ",01/10/2014, October ,2014
Midmarket,Mexico, VTT , Low ,1514.0, $15.00 ," $21,801.60 ",01/10/2013, October ,2013
Government,Mexico, Amarilla , Low ,1865.0, $350.00 ," $626,640.00 ",01/02/2014, February ,2014
Enterprise,Mexico, Amarilla , Low ,1074.0, $125.00 ," $128,880.00 ",01/04/2014, April ,2014
Government,Germany, Amarilla , Low ,1907.0, $350.00 ," $640,752.00 ",01/09/2014, September ,2014
Midmarket,United States of America, Amarilla , Low ,671.0, $15.00 ," $9,662.40 ",01/10/2013, October ,2013
Government,Canada, Amarilla , Low ,1778.0, $350.00 ," $597,408.00 ",01/12/2013, December ,2013
Government,Germany, Montana , Medium ,1159.0, $7.00 ," $7,707.35 ",01/10/2013, October ,2013
Government,Germany, Paseo , Medium ,1372.0, $7.00 ," $9,123.80 ",01/01/2014, January ,2014
Government,Canada, Paseo , Medium ,2349.0, $7.00 ," $15,620.85 ",01/09/2013, September ,2013
Government,Mexico, Paseo , Medium ,2689.0, $7.00 ," $17,881.85 ",01/10/2014, October ,2014
Channel Partners,Canada, Paseo , Medium ,2431.0, $12.00 ," $27,713.40 ",01/12/2014, December ,2014
Channel Partners,Canada, Velo , Medium ,2431.0, $12.00 ," $27,713.40 ",01/12/2014, December ,2014
Government,Mexico, VTT , Medium ,2689.0, $7.00 ," $17,881.85 ",01/10/2014, October ,2014
Government,Mexico, Amarilla , Medium ,1683.0, $7.00 ," $11,191.95 ",01/07/2014, July ,2014
Channel Partners,Mexico, Amarilla , Medium ,1123.0, $12.00 ," $12,802.20 ",01/08/2014, August ,2014
Government,Germany, Amarilla , Medium ,1159.0, $7.00 ," $7,707.35 ",01/10/2013, October ,2013
Channel Partners,France, Carretera , Medium ,1865.0, $12.00 ," $21,261.00 ",01/02/2014, February ,2014
Channel Partners,Germany, Carretera , Medium ,1116.0, $12.00 ," $12,722.40 ",01/02/2014, February ,2014
Government,France, Carretera , Medium ,1563.0, $20.00 ," $29,697.00 ",01/05/2014, May ,2014
Small Business,United States of America, Carretera , Medium ,991.0, $300.00 ," $282,435.00 ",01/06/2014, June ,2014
Government,Germany, Carretera , Medium ,1016.0, $7.00 ," $6,756.40 ",01/11/2013, November ,2013
Midmarket,Mexico, Carretera , Medium ,2791.0, $15.00 ," $39,771.75 ",01/11/2014, November ,2014
Government,United States of America, Carretera , Medium ,570.0, $7.00 ," $3,790.50 ",01/12/2014, December ,2014
Government,France, Carretera , Medium ,2487.0, $7.00 ," $16,538.55 ",01/12/2014, December ,2014
Government,France, Montana , Medium ,1384.5, $350.00 ," $460,346.25 ",01/01/2014, January ,2014
Enterprise,United States of America, Montana , Medium ,3627.0, $125.00 ," $430,706.25 ",01/07/2014, July ,2014
Government,Mexico, Montana , Medium ,720.0, $350.00 ," $239,400.00 ",01/09/2013, September ,2013
Channel Partners,Germany, Montana , Medium ,2342.0, $12.00 ," $26,698.80 ",01/11/2014, November ,2014
Small Business,Mexico, Montana , Medium ,1100.0, $300.00 ," $313,500.00 ",01/12/2013, December ,2013
Government,France, Paseo , Medium ,1303.0, $20.00 ," $24,757.00 ",01/02/2014, February ,2014
Enterprise,United States of America, Paseo , Medium ,2992.0, $125.00 ," $355,300.00 ",01/03/2014, March ,2014
Enterprise,France, Paseo , Medium ,2385.0, $125.00 ," $283,218.75 ",01/03/2014, March ,2014
Small Business,Mexico, Paseo , Medium ,1607.0, $300.00 ," $457,995.00 ",01/04/2014, April ,2014
Government,United States of America, Paseo , Medium ,2327.0, $7.00 ," $15,474.55 ",01/05/2014, May ,2014
Small Business,United States of America, Paseo , Medium ,991.0, $300.00 ," $282,435.00 ",01/06/2014, June ,2014
Government,United States of America, Paseo , Medium ,602.0, $350.00 ," $200,165.00 ",01/06/2014, June ,2014
Midmarket,France, Paseo , Medium ,2620.0, $15.00 ," $37,335.00 ",01/09/2014, September ,2014
Government,Canada, Paseo , Medium ,1228.0, $350.00 ," $408,310.00 ",01/10/2013, October ,2013
Government,Canada, Paseo , Medium ,1389.0, $20.00 ," $26,391.00 ",01/10/2013, October ,2013
Enterprise,United States of America, Paseo , Medium ,861.0, $125.00 ," $102,243.75 ",01/10/2014, October ,2014
Enterprise,France, Paseo , Medium ,704.0, $125.00 ," $83,600.00 ",01/10/2013, October ,2013
Government,Canada, Paseo , Medium ,1802.0, $20.00 ," $34,238.00 ",01/12/2013, December ,2013
Government,United States of America, Paseo , Medium ,2663.0, $20.00 ," $50,597.00 ",01/12/2014, December ,2014
Government,France, Paseo , Medium ,2136.0, $7.00 ," $14,204.40 ",01/12/2013, December ,2013
Midmarket,Germany, Paseo , Medium ,2116.0, $15.00 ," $30,153.00 ",01/12/2013, December ,2013
Midmarket,United States of America, Velo , Medium ,555.0, $15.00 ," $7,908.75 ",01/01/2014, January ,2014
Midmarket,Mexico, Velo , Medium ,2861.0, $15.00 ," $40,769.25 ",01/01/2014, January ,2014
Enterprise,Germany, Velo , Medium ,807.0, $125.00 ," $95,831.25 ",01/02/2014, February ,2014
Government,United States of America, Velo , Medium ,602.0, $350.00 ," $200,165.00 ",01/06/2014, June ,2014
Government,United States of America, Velo , Medium ,2832.0, $20.00 ," $53,808.00 ",01/08/2014, August ,2014
Government,France, Velo , Medium ,1579.0, $20.00 ," $30,001.00 ",01/08/2014, August ,2014
Enterprise,United States of America, Velo , Medium ,861.0, $125.00 ," $102,243.75 ",01/10/2014, October ,2014
Enterprise,France, Velo , Medium ,704.0, $125.00 ," $83,600.00 ",01/10/2013, October ,2013
Government,France, Velo , Medium ,1033.0, $20.00 ," $19,627.00 ",01/12/2013, December ,2013
Small Business,Germany, Velo , Medium ,1250.0, $300.00 ," $356,250.00 ",01/12/2014, December ,2014
Government,Canada, VTT , Medium ,1389.0, $20.00 ," $26,391.00 ",01/10/2013, October ,2013
Government,United States of America, VTT , Medium ,1265.0, $20.00 ," $24,035.00 ",01/11/2013, November ,2013
Government,Germany, VTT , Medium ,2297.0, $20.00 ," $43,643.00 ",01/11/2013, November ,2013
Government,United States of America, VTT , Medium ,2663.0, $20.00 ," $50,597.00 ",01/12/2014, December ,2014
Government,United States of America, VTT , Medium ,570.0, $7.00 ," $3,790.50 ",01/12/2014, December ,2014
Government,France, VTT , Medium ,2487.0, $7.00 ," $16,538.55 ",01/12/2014, December ,2014
Government,Germany, Amarilla , Medium ,1350.0, $350.00 ," $448,875.00 ",01/02/2014, February ,2014
Government,Canada, Amarilla , Medium ,552.0, $350.00 ," $183,540.00 ",01/08/2014, August ,2014
Government,Canada, Amarilla , Medium ,1228.0, $350.00 ," $408,310.00 ",01/10/2013, October ,2013
